Airport,RÂ²,RMSE,Message
ABE,0.022256483491891466,7.726134860495768,Data processed successfully
ABI,0.09544522318943804,2.8646417204032932,Data processed successfully
ABQ,0.005604422282046495,1.8458938120779547,Data processed successfully
ABR,0.1761935489203038,4.48535409676807,Data processed successfully
ABY,0.12778730591943865,3.4213263835983443,Data processed successfully
ACK,0.06732114794603494,2.8881869321570948,Data processed successfully
ACT,0.1087250287335666,1.5404275559304708,Data processed successfully
ACV,0.08853495690322111,5.415625476247336,Data processed successfully
ACY,0.24940721627133444,0.7604076960872769,Data processed successfully
ADK,0.026313070295938767,1.7327344143216334,Data processed successfully
ADQ,0.14305972226461017,1.407567673658934,Data processed successfully
AEX,0.07581734332883316,2.0205793791483457,Data processed successfully
AGS,0.026056955413686356,2.7810393382175858,Data processed successfully
AKN,0.47316983031696525,0.5085490967245069,Data processed successfully
ALB,0.028962329434535694,1.8869676225479846,Data processed successfully
ALO,0.2349474772565603,2.139842131657674,Data processed successfully
ALS,0.25046733018747014,1.155121286421095,Data processed successfully
ALW,0.5311340488276721,0.7709940731400604,Data processed successfully
AMA,0.05691637084240264,2.169855757925468,Data processed successfully
ANC,0.014675948874976918,3.9602482387911984,Data processed successfully
APN,0.2242911228946728,3.7531624889798954,Data processed successfully
ART,0.5836863881443564,2.0701589991103777,Data processed successfully
ASE,0.16220999511507916,2.226317563925985,Data processed successfully
ATL,0.07691387411658945,0.970579695980451,Data processed successfully
ATW,0.036666472836609065,3.828728570045535,Data processed successfully
ATY,0.17315870955438661,2.823577161800436,Data processed successfully
AUS,0.01636040447377385,3.3940368356777597,Data processed successfully
AVL,0.024820520087461717,2.5846120005894666,Data processed successfully
AVP,0.0534695917893504,2.250758358137279,Data processed successfully
AZA,0.3460949478275396,1.354623486278888,Data processed successfully
AZO,0.11981941883400349,3.4947909919298117,Data processed successfully
BDL,0.016495322488130904,2.894292940239717,Data processed successfully
BET,0.11378843287056184,1.3856047319619218,Data processed successfully
BFF,0.19310132932973023,1.6480488944186682,Data processed successfully
BFL,0.03059547701920573,1.8316453396835854,Data processed successfully
BFM,1.0,0.0,Data processed successfully
BGM,0.22173611258402193,3.7850624657560217,Data processed successfully
BGR,0.04025352167433738,1.7750121457776464,Data processed successfully
BHM,0.045857179831881756,1.9139316389418228,Data processed successfully
BIH,0.48345155723489686,0.9498400516012223,Data processed successfully
BIL,0.03465822339633162,2.7848247978153577,Data processed successfully
BIS,0.02132852821494602,8.043117171761073,Data processed successfully
BJI,0.09205375445807229,4.910956440275083,Data processed successfully
BKG,0.14830104123510646,0.6564872786264014,Data processed successfully
BLI,0.20458139981569312,0.6023961282944743,Data processed successfully
BLV,0.3397737466510965,1.185249384982583,Data processed successfully
BMI,0.008914785555648952,4.135122812170074,Data processed successfully
BNA,0.04590875853952692,1.0884564111817963,Data processed successfully
BOI,0.018438536942529282,1.8902535268460368,Data processed successfully
BOS,0.02010699557238882,3.0104098780882245,Data processed successfully
BPT,0.02858690078552939,1.4548823391770482,Data processed successfully
BQK,0.03902781227222296,1.9081147049354898,Data processed successfully
BQN,0.058669919852344266,7.3492734145641245,Data processed successfully
BRD,0.15727299732384414,5.499922475125129,Data processed successfully
BRO,0.01708658123136031,8.530447841109824,Data processed successfully
BRW,0.030920679876619728,1.6765650135538197,Data processed successfully
BTM,0.08126602197404376,5.034557830140345,Data processed successfully
BTR,0.044427072874155815,1.8955869508011174,Data processed successfully
BTV,0.010172894822187306,3.495219244044352,Data processed successfully
BUF,0.0326656307517057,2.3610768996155125,Data processed successfully
BUR,0.03099992976480359,1.7586543932753298,Data processed successfully
BWI,0.00533526973195364,9.186095858007803,Data processed successfully
BZN,0.07779405452163957,1.6834064675606366,Data processed successfully
CAE,0.034522620670625837,1.598663088061661,Data processed successfully
CAK,0.02738893203020265,2.2463050315275774,Data processed successfully
CDB,0.904170149788726,0.16235592915147926,Data processed successfully
CDC,0.14431242111456455,2.2143948759503553,Data processed successfully
CDV,0.33284030123345665,0.7055151955603083,Data processed successfully
CEC,0.4238046855430063,1.064754876928288,Data processed successfully
CGI,0.06501231385599948,2.2066426677976687,Data processed successfully
CHA,0.03464097705146352,1.9727953945089458,Data processed successfully
CHO,0.05547309322632954,4.031046904019974,Data processed successfully
CHS,0.04021128414483621,1.2438399792164758,Data processed successfully
CIC,0.2307663139869669,0.4343116819225005,Data processed successfully
CID,0.022690500037586436,1.8497030630154834,Data processed successfully
CIU,0.20589493703000272,4.75939842431799,Data processed successfully
CKB,0.0821033897349368,3.0206817251631093,Data processed successfully
CLD,0.10156151469635721,0.3218334159055363,Data processed successfully
CLE,0.04572099606950797,1.3136702043153667,Data processed successfully
CLL,0.018889074237410153,1.74966779063063,Data processed successfully
CLT,0.04548014990203164,1.5051271068403926,Data processed successfully
CMH,0.030562373606993876,1.3282421257316,Data processed successfully
CMI,0.22454875658508044,1.9761629028583316,Data processed successfully
CMX,0.0335577799630663,4.740585866301017,Data processed successfully
CNY,0.08939836940997703,2.8268683547254123,Data processed successfully
COD,0.2037660973181714,3.329591841561807,Data processed successfully
COS,0.014603041522460503,1.8565651214895673,Data processed successfully
COU,0.03319542152560773,3.000225028887944,Data processed successfully
CPR,0.10874005621549121,2.0505426355099408,Data processed successfully
CRP,0.037848201085391775,1.9750450887101536,Data processed successfully
CRW,0.039561526267903324,4.584157638747974,Data processed successfully
CSG,0.11173508553828149,6.71498985805623,Data processed successfully
CVG,0.06491044749716302,1.193342556774371,Data processed successfully
CWA,0.0984072098172315,5.24657497453986,Data processed successfully
CYS,0.16706108599787528,4.719032628875436,Data processed successfully
DAB,0.05183900636483485,1.4425978077592294,Data processed successfully
DAL,0.05042913212226452,0.9128864869385849,Data processed successfully
DAY,0.018517794194680692,3.5150273698958387,Data processed successfully
DBQ,0.07569728906571893,2.5910276664909895,Data processed successfully
DCA,0.05323298087617956,0.7259189694012468,Data processed successfully
DDC,0.2696861560545556,1.470182904618377,Data processed successfully
DEC,0.2227779408838939,1.0715850059315364,Data processed successfully
DEN,0.04081495338051344,0.9582000882055173,Data processed successfully
DFW,0.02365378449629907,1.0792789703301489,Data processed successfully
DHN,0.06294372457866737,2.9378560378227907,Data processed successfully
DIK,0.12746596839069502,13.97864707873645,Data processed successfully
DLG,0.4310892044543092,0.8610750110452227,Data processed successfully
DLH,0.09781482047135792,8.888584562661107,Data processed successfully
DRO,0.03236624914912589,2.604906947134554,Data processed successfully
DRT,0.09978488004746289,1.0632585255326599,Data processed successfully
DSM,0.02907039080129481,1.8372159654509654,Data processed successfully
DTW,0.039110900097616086,1.2806750595501113,Data processed successfully
DVL,0.07429026635194957,9.567902179123175,Data processed successfully
EAR,0.29265865908081823,2.4159491350704525,Data processed successfully
EAT,0.5195090563116873,0.35272402488352833,Data processed successfully
EAU,0.16374013350267125,1.4325972136124934,Data processed successfully
ECP,0.011326856113409112,4.086042464464177,Data processed successfully
EFD,,,No weather data available for this airport
EGE,0.06572628614246823,3.1826440800425972,Data processed successfully
EKO,0.08197989086463287,9.862284251557082,Data processed successfully
ELM,0.11564115749492077,2.5507669345662003,Data processed successfully
ELP,0.04247497275025025,1.643808901147832,Data processed successfully
ENV,,,No weather data available for this airport
ERI,0.05664512953105194,1.772199398890912,Data processed successfully
ESC,0.10615948257514463,5.832664702041807,Data processed successfully
EUG,0.03454057510234787,2.5501495784804917,Data processed successfully
EVV,0.013627587779798778,2.817735153128659,Data processed successfully
EWN,0.07073056916326714,1.6788784380068449,Data processed successfully
EWR,0.012650729162629548,3.1116298133800737,Data processed successfully
EYW,0.023747875909803318,5.031732354130824,Data processed successfully
FAI,0.03739733781735599,2.330086832670852,Data processed successfully
FAR,0.047125709128607585,3.1819676808705935,Data processed successfully
FAT,0.02647041592280297,1.7248255694681898,Data processed successfully
FAY,0.03677719336298124,3.1161789115399596,Data processed successfully
FCA,0.1112567940053728,3.4694525107255254,Data processed successfully
FLG,0.047497765051336294,1.8403810527725435,Data processed successfully
FLL,0.007065691073478542,1.733949836252837,Data processed successfully
FLO,1.0,1.9724042404289787e-16,Data processed successfully
FNL,,0.0,Data processed successfully
FNT,0.02445940354874465,1.9431073699754544,Data processed successfully
FOD,0.2460016516066872,0.6768602189668104,Data processed successfully
FOE,1.0,1.3338530145771732e-14,Data processed successfully
FSD,0.03455113076236027,4.376873210794987,Data processed successfully
FSM,0.02298245111142294,2.9645478832259,Data processed successfully
FWA,0.046706108819912995,2.0697448386564807,Data processed successfully
GCC,0.15897218040252903,1.708124472598606,Data processed successfully
GCK,0.1604471637676722,3.0153301601005054,Data processed successfully
GEG,0.04837028950389699,1.238135165094767,Data processed successfully
GFK,0.0541268154321396,3.6004310896055935,Data processed successfully
GGG,0.10182174920568932,1.6937020912804175,Data processed successfully
GJT,0.010875537521365164,5.188732916942797,Data processed successfully
GNV,0.02453605895831934,1.6350620333305588,Data processed successfully
GPT,0.009055503252746955,5.597028754515346,Data processed successfully
GRB,0.02644751703117698,1.8302905314958389,Data processed successfully
GRI,0.02091248332768625,2.249916008294945,Data processed successfully
GRK,0.054722246800671726,1.6402124544364753,Data processed successfully
GRR,0.007815576837649885,1.769013052524774,Data processed successfully
GSO,0.05550812216023271,1.643056157997883,Data processed successfully
GSP,0.059676074659852585,1.868911963639624,Data processed successfully
GST,0.1830290850422901,0.8982741766928848,Data processed successfully
GTF,0.05523325866004358,2.6362157230711967,Data processed successfully
GTR,0.1528974718722521,1.3643410056832652,Data processed successfully
GUC,0.01936637691415155,3.8526886330983707,Data processed successfully
GUM,0.1671257699432699,0.26455526274884456,Data processed successfully
HDN,0.04029712281385178,5.537846504336117,Data processed successfully
HGR,0.21531065783724745,3.3756237485655602,Data processed successfully
HHH,0.122985548040769,6.4354450876552,Data processed successfully
HIB,0.20428136531259167,6.893349586048671,Data processed successfully
HLN,0.19798901943456193,2.6307689561495065,Data processed successfully
HNL,0.10550912450612748,0.6529353850747502,Data processed successfully
HOB,0.05006150775502305,2.6830302650007556,Data processed successfully
HOU,0.025453051538833482,3.351138631142783,Data processed successfully
HPN,0.033003692993489264,2.3618783140602337,Data processed successfully
HRL,0.04920380715510431,1.581084658077303,Data processed successfully
HSV,0.0575531173917595,1.58372043919095,Data processed successfully
HTS,0.09839116077359111,2.1460262987073535,Data processed successfully
HVN,0.13326099386003554,0.9924218479516227,Data processed successfully
HYA,0.07622399712511596,2.2901784557267444,Data processed successfully
HYS,0.09386984404025367,1.6614710049738282,Data processed successfully
IAD,0.021082965685468746,1.5784122607775397,Data processed successfully
IAG,0.09742904106076244,4.0054958637203075,Data processed successfully
IAH,0.04466116819153476,0.981418746383624,Data processed successfully
ICT,0.024243910004241198,1.649208938715137,Data processed successfully
IDA,0.12412537141324531,1.6150952608132605,Data processed successfully
IFP,0.644179429310328,2.9188566553922626,Data processed successfully
ILG,0.18560500140397473,0.24366064846882884,Data processed successfully
ILM,0.04562062157330837,2.090965940705509,Data processed successfully
IMT,0.14068412431797706,2.643626848895505,Data processed successfully
IND,0.027946121397921853,1.3025249907242857,Data processed successfully
INL,0.0550071334529062,8.615738687636462,Data processed successfully
IPT,1.0,8.357455313457784e-16,Data processed successfully
ISN,,,No weather data available for this airport
ISP,0.31694118839875374,0.476453206457152,Data processed successfully
ITH,0.1319052495542986,2.4556425202530994,Data processed successfully
ITO,0.07402285756711025,0.38609245918447604,Data processed successfully
IYK,1.0,0.0,Data processed successfully
JAC,0.1328736743465787,2.977438738748752,Data processed successfully
JAN,0.07707448858342392,1.7069962205598463,Data processed successfully
JAX,0.02189545256578973,1.9358452868722271,Data processed successfully
JFK,0.04541284061397732,2.8517069192334508,Data processed successfully
JLN,0.11227133491235075,3.15540138665981,Data processed successfully
JMS,0.14779197361911867,11.056371128706338,Data processed successfully
JNU,0.07478091093394135,4.963990323316688,Data processed successfully
JST,0.19541885630170686,2.907218776074206,Data processed successfully
KOA,0.04355336657567255,1.0690136628248559,Data processed successfully
KTN,0.0627687130007103,0.9615464561988492,Data processed successfully
LAN,0.05554938169222956,2.4190698894999403,Data processed successfully
LAR,0.043812550060771116,3.5992907066758617,Data processed successfully
LAS,0.026751161602524554,0.6473386978237101,Data processed successfully
LAW,0.055485208217428306,4.093674482788515,Data processed successfully
LAX,0.014114264424379575,2.5848515427016543,Data processed successfully
LBB,0.031010476105154727,2.765105954443395,Data processed successfully
LBE,0.13947117331308567,1.1625421937364877,Data processed successfully
LBF,0.13971001244387304,1.8886250556612196,Data processed successfully
LBL,0.1664772874713597,3.4315827067871854,Data processed successfully
LCH,0.09282433969137371,2.029029124286589,Data processed successfully
LCK,0.214641595230316,1.6984304977583478,Data processed successfully
LEX,0.029374399552105634,1.5879696283626823,Data processed successfully
LFT,0.031221409250144827,2.896793949432254,Data processed successfully
LGA,0.052004492888905296,1.6114326292201242,Data processed successfully
LGB,0.05413674102683952,31.116031979079164,Data processed successfully
LIH,0.06196434908687054,0.5120548546379435,Data processed successfully
LIT,0.037787642913091446,2.714471942858935,Data processed successfully
LMT,0.9616405184929766,0.3046378301134265,Data processed successfully
LNK,0.14749904346495868,2.2362681322607885,Data processed successfully
LRD,0.038999692132582364,1.9350921854578556,Data processed successfully
LSE,0.037479472339444264,2.417697160751305,Data processed successfully
LWB,0.1410725104456767,2.5714688777888592,Data processed successfully
LWS,0.14759591693752327,3.489993542687018,Data processed successfully
LYH,0.1647425378638927,1.7565848463814044,Data processed successfully
MAF,0.02628476654432832,2.2681129455552904,Data processed successfully
MBS,0.04005194660791078,2.8300598595140225,Data processed successfully
MCI,0.04168670502211291,1.4882549543404227,Data processed successfully
MCN,,,No weather data available for this airport
MCO,0.048457027411664466,0.6873944147087097,Data processed successfully
MCW,0.5284112784094355,1.2722406840957485,Data processed successfully
MDT,0.021759139152514262,3.143512441080688,Data processed successfully
MDW,0.03471548477633679,1.4257440171445195,Data processed successfully
MEI,0.09824515450538462,2.471699338293808,Data processed successfully
MEM,0.03900782779134748,1.6199084499989858,Data processed successfully
MFE,0.04346684926552369,1.7976518081762536,Data processed successfully
MFR,0.076630461587755,2.0450531388564195,Data processed successfully
MGM,0.01707028422434853,3.03539404622683,Data processed successfully
MHK,0.030212271446988792,2.1006373118036867,Data processed successfully
MHT,0.019897996085158742,3.3054884297763176,Data processed successfully
MIA,0.007377750348048995,2.506134627051674,Data processed successfully
MKE,0.023692276735773676,1.2879996634974569,Data processed successfully
MKG,0.08772570427703252,1.6755208599269453,Data processed successfully
MLB,0.0323071111198564,1.2225179195412144,Data processed successfully
MLI,0.02003819440950194,2.917724994579985,Data processed successfully
MLU,0.054274085012147366,2.8159801067463732,Data processed successfully
MMH,0.10094060945512973,6.313538434968253,Data processed successfully
MOB,0.008947811747891166,4.766223106811263,Data processed successfully
MOD,0.746273482182493,0.3067421957381794,Data processed successfully
MOT,0.051754638986883705,7.101858785620019,Data processed successfully
MQT,0.15155545283858696,10.869691526128989,Data processed successfully
MRY,0.013674564749103002,3.0328479455593116,Data processed successfully
MSN,0.0074974848158008145,1.598370832933408,Data processed successfully
MSO,0.093390855779094,3.1004011225817565,Data processed successfully
MSP,0.013329769972630467,1.6736139290399517,Data processed successfully
MSY,0.016245860426933767,1.7792787696051608,Data processed successfully
MTJ,0.027134655614134418,2.5953912705897406,Data processed successfully
MVY,0.07784602621200931,1.8939629098866957,Data processed successfully
MYR,0.01573689502634057,1.6042919434900509,Data processed successfully
OAJ,0.09074060400770101,2.26842752713758,Data processed successfully
OAK,0.01255518370053621,0.9027571600218238,Data processed successfully
OGD,0.1621824679013244,1.216553409987691,Data processed successfully
OGG,0.10498893931807607,0.8140676772254437,Data processed successfully
OGS,0.10701054954463574,4.285137169644914,Data processed successfully
OKC,0.02912119621128262,1.6520566396183447,Data processed successfully
OMA,0.024600754894774646,1.365677773336666,Data processed successfully
OME,0.2205519941433376,0.8595281151320707,Data processed successfully
ONT,0.02315309422767753,1.2899521395104492,Data processed successfully
ORD,0.03058901941367842,1.1105218784713249,Data processed successfully
ORF,0.058226476628997936,1.536140541650962,Data processed successfully
ORH,0.04836316068378066,4.309444069724119,Data processed successfully
OTH,0.1530068903324674,0.9336217055742267,Data processed successfully
OTZ,0.06933053733042138,0.9068439042530445,Data processed successfully
OWB,0.17724917871693857,1.1737857562500735,Data processed successfully
PAE,0.07882507655910675,3.1918108964821688,Data processed successfully
PAH,0.08975487527709736,1.7412023809639516,Data processed successfully
PBG,0.047482774862511956,3.1875095827555007,Data processed successfully
PBI,0.009121682323536606,1.751391362539167,Data processed successfully
PDX,0.010382160394342144,1.4636674449234555,Data processed successfully
PGD,0.126438115404517,1.235034237899549,Data processed successfully
PGV,0.7946269437746584,0.5703484900770734,Data processed successfully
PHF,0.07220317323227565,3.7540818549858272,Data processed successfully
PHL,0.01758766233609732,2.0193276371891686,Data processed successfully
PHX,0.022930147228902076,0.8625446937542899,Data processed successfully
PIA,0.029999191136688697,2.4946371970339465,Data processed successfully
PIB,0.04151974538904113,2.0502579457496117,Data processed successfully
PIE,0.3727628790072629,0.8704342537883781,Data processed successfully
PIH,0.13892670763379966,3.9046121439506556,Data processed successfully
PIR,0.2548132532338563,2.657104324113666,Data processed successfully
PIT,0.034793570418047204,1.124197552385001,Data processed successfully
PLN,0.29078220927016163,4.959890057345832,Data processed successfully
PNS,0.021501283977918173,3.447933911641489,Data processed successfully
PPG,0.15500472903168605,32.23203060870974,Data processed successfully
PRC,0.11667235976680523,2.1651959213806857,Data processed successfully
PSC,0.20490323888175999,2.766200498558598,Data processed successfully
PSE,0.028435354704450688,2.971130338068035,Data processed successfully
PSG,0.19534334728448488,1.0120772953339578,Data processed successfully
PSM,0.20238844044498383,2.220522516171641,Data processed successfully
PSP,0.016168357927261456,1.380779528048171,Data processed successfully
PUB,0.14158202968914824,3.599951539884206,Data processed successfully
PUW,0.5721376806254435,0.43138248354674547,Data processed successfully
PVD,0.03307366217943586,2.0994848158516395,Data processed successfully
PVU,0.24942847282270975,2.4971093987677513,Data processed successfully
PWM,0.02918614248180973,4.02726376175679,Data processed successfully
RAP,0.02776799479454728,19.595085728280186,Data processed successfully
RDD,0.14128355315062002,2.6090649455557404,Data processed successfully
RDM,0.11369506480184888,1.4153969593362938,Data processed successfully
RDU,0.05032585174761672,1.5133905397681013,Data processed successfully
RFD,0.31007905766635435,1.1335927512128272,Data processed successfully
RHI,0.056712598162707906,5.019869227857804,Data processed successfully
RIC,0.05387155797352561,1.7526441236604382,Data processed successfully
RIW,0.23361657927682222,4.760600951217168,Data processed successfully
RKS,0.05619779288794613,3.3497261001376697,Data processed successfully
RNO,0.07278634890767732,1.3438741510795056,Data processed successfully
ROA,0.028159848304311397,5.406410733632801,Data processed successfully
ROC,0.03174232244853836,1.9066715500362228,Data processed successfully
ROW,0.0971274521996679,1.2818920165094672,Data processed successfully
RST,0.07164216187625772,3.0747106852874464,Data processed successfully
RSW,0.005306264268895244,3.6183389082242092,Data processed successfully
SAF,0.038044601692966085,1.5213881261039512,Data processed successfully
SAN,0.014553706570887615,0.8204091090144371,Data processed successfully
SAT,0.03834607969403481,2.0356895814873903,Data processed successfully
SAV,0.015280760863002452,2.9994025063456933,Data processed successfully
SBA,0.013654392313160235,2.4861279623017434,Data processed successfully
SBN,0.05635249784582519,2.039236504860223,Data processed successfully
SBP,0.048202248549043314,1.26635013535357,Data processed successfully
SCC,0.06637541407588043,4.765343170229258,Data processed successfully
SCE,0.04588459772266429,1.8223563062818586,Data processed successfully
SCK,0.1398982343520362,3.133426429478719,Data processed successfully
SDF,0.03457734937960766,1.293783124524386,Data processed successfully
SEA,0.042215232995076124,0.697118320637623,Data processed successfully
SFB,0.08799164434647921,1.0177837963507808,Data processed successfully
SFO,0.07518169792681217,0.5773609239656218,Data processed successfully
SGF,0.024549367710773762,1.9025186244948227,Data processed successfully
SGU,0.044203222918120066,1.1437207528562539,Data processed successfully
SHD,0.17848474496276245,2.5428318605537563,Data processed successfully
SHR,0.10416548368559819,6.23595480648671,Data processed successfully
SHV,0.020886012085486017,3.108549111939532,Data processed successfully
SIT,0.04855330991862272,2.6659104117280763,Data processed successfully
SJC,0.0024862040056545798,1.9452524622562408,Data processed successfully
SJT,0.07666461903636568,2.0569750595882303,Data processed successfully
SJU,0.11203197611079474,1.0289744772510996,Data processed successfully
SLC,0.01599549744784423,1.0697593334552018,Data processed successfully
SLN,0.08492217082296671,4.9070573580859875,Data processed successfully
SMF,0.010962609582412797,1.1051281994623274,Data processed successfully
SMX,0.02959501030878786,1.9011966306814605,Data processed successfully
SNA,0.021421014777951886,0.7690813237066486,Data processed successfully
SPI,0.04229882984967015,3.24423850964103,Data processed successfully
SPN,0.3146518218861175,1.1448873329237652,Data processed successfully
SPS,0.08259595298912603,2.1049560201296775,Data processed successfully
SRQ,0.002984564917093424,1.8383548261835443,Data processed successfully
STC,0.0767692633555852,1.9834124333037133,Data processed successfully
STL,0.02932789680286918,1.308299989354697,Data processed successfully
STS,0.04149502548795536,1.8233733613839782,Data processed successfully
STT,0.018822560119921006,1.6088369995299243,Data processed successfully
STX,0.0870885285113221,1.7089744183869338,Data processed successfully
SUN,0.07646628292423674,2.9209487547829043,Data processed successfully
SUX,0.06528486015910429,2.8633732738551796,Data processed successfully
SWF,0.023109964290443208,4.603102012122661,Data processed successfully
SWO,0.19962609974698342,1.6734873482932375,Data processed successfully
SYR,0.022678722953181185,2.004838019246977,Data processed successfully
TBN,0.5641157007242736,1.6366211614101842,Data processed successfully
TKI,,,No weather data available for this airport
TLH,0.040079813266782116,1.928235077863508,Data processed successfully
TOL,0.05899329116739749,2.729815770067484,Data processed successfully
TPA,0.004552241007646618,2.169192355123953,Data processed successfully
TRI,0.02699347507273364,2.2966550613114185,Data processed successfully
TTN,0.1439902342590701,0.5255855568898065,Data processed successfully
TUL,0.040861867435575405,1.57044491280283,Data processed successfully
TUS,0.011189501671756918,1.215591159094679,Data processed successfully
TVC,0.028393256196026062,3.196664096356553,Data processed successfully
TWF,0.15235053310160618,3.1899939225537657,Data processed successfully
TXK,0.1566233511551962,1.1653689926762079,Data processed successfully
TYR,0.07836150547445397,1.9044509014578828,Data processed successfully
TYS,0.010191727587961386,2.338620009219844,Data processed successfully
UIN,0.4919113041823937,0.9522434768590031,Data processed successfully
USA,0.20958452740684552,1.6333602397770164,Data processed successfully
UST,0.18973733229660117,0.6438878353153743,Data processed successfully
VCT,0.2952810128232177,2.3854938205789806,Data processed successfully
VEL,0.41090004740711095,1.4246003053265692,Data processed successfully
VLD,0.07092020787365971,8.585792886826606,Data processed successfully
VPS,0.026518528528896357,3.2393189364242483,Data processed successfully
WRG,0.14294400207052904,1.0560707427963585,Data processed successfully
WYS,0.17655400479226535,1.2297110278606236,Data processed successfully
XNA,0.01571166853311068,1.9033911525094043,Data processed successfully
XWA,0.15016219983906842,16.1778020833014,Data processed successfully
YAK,0.22986867730868799,0.5526550925800342,Data processed successfully
YKM,0.604387525383409,2.325095563559239,Data processed successfully
YNG,,0.0,Data processed successfully
YUM,0.017437057630512176,1.0740912355591714,Data processed successfully
