A relationship for the diffusion coeffcient in eddy diffusion based indoor dispersion modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timothy Foat, Joseph Drodge, James Nally, Simon Parker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data output from the automated CFD simulations is given below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The method used to generate the data is given in Section 2 of the paper. The results are discussed in Section 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model ref.,Length,Width,-,Height,Floor area,-,Volume,Air change rate,-,Release mass,Flow rate,"Release location, x","Release location, y","Release location, z",Release position,Supply vent width,Supply vent effective air discharge area,No. supply vents,Total supply vent area,Supply vel,Extract vent width,Extract vent area,No. extract vents,Total extract vent area,Extract vel,,Plane height,K (CFD),Geometric variance,,Plane height,K (CFD),Geometric variance,,Plane height,K (CFD),Geometric variance,,Mean across planes,Standard deviation,,K (TKEB model)
-,L,W,L/W,H,LW,sqrt(LW))/H,V,lambda,lambda,M,Q,x0,y0,z0,-,-,A,N,-,u0,-,-,-,-,-,,-,K,VG,,-,K,VG,,-,K,VG,,K,K,,K
-,m,m,-,m,m2,-,m3,h-1,s-1,kg,m3/s,m,m,m,-,m,m2,-,m2,m/s,m,m2,-,m3,m/s,,m,m2/s,-,,m,m2/s,-,,m,m2/s,-,,m2/s,m2/s,,m2/s
row_00138,36.9,21.8,1.7,5.9,805.3,4.8,4748.6,0.6,0.000160048,0.00098,0.76,1,1,2.9, corner,0.211,0.045,57,2.5,0.3,0.4,0.16,2,0.32,2.4,,0.5,2.75E-03,4.02E+15,,1,3.47E-03,7.99E+11,,1.5,3.50E-03,3.97E+10,,3.24E-03,10.7,,3.05E-03
row_00121,36.1,12.9,2.8,6.8,466.7,3.2,3182.4,0.7,0.000181207,0.00098,0.58,3.2,9,3.4,mid-point,0.211,0.045,33,1.5,0.4,0.4,0.16,2,0.32,1.8,,0.5,1.78E-03,5.82E+12,,1,,,,1.5,1.71E-03,3.16E+19,,1.75E-03,2,,3.81E-03
row_00243,24.7,9.9,2.5,6.6,244.2,2.4,1611.9,0.7,0.000202365,0.00098,0.33,2.4,6.2,3.3,mid-point,0.211,0.045,18,0.8,0.4,0.4,0.16,1,0.16,2,,0.5,,,,1,,,,1.5,,,,,,,4.06E-03
row_00044,25.3,13.7,1.8,5.2,346.6,3.6,1802.4,0.8,0.000223524,0.00098,0.41,3.4,6.3,2.6,mid-point,0.211,0.045,24,1.1,0.4,0.4,0.16,2,0.32,1.3,,0.5,,,,1,2.40E-03,5.05E+16,,1.5,,,,2.40E-03,,,4.04E-03
row_00166,32,22.6,1.4,4.7,723.2,5.7,3433.8,0.9,0.000244683,0.00098,0.84,5.6,8,2.3,mid-point,0.211,0.045,51,2.3,0.4,0.4,0.16,2,0.32,2.6,,0.5,3.45E-03,9.63E+08,,1,,,,1.5,3.78E-03,2.88E+07,,3.61E-03,4.6,,4.05E-03
row_00085,31,14.9,2.1,10.7,463.7,2,4961.3,1,0.000265842,0.00098,1.32,1,1,5.3, corner,0.211,0.045,33,1.5,0.9,0.4,0.16,2,0.32,4.1,,0.5,,,,1,,,,1.5,,,,,,,7.52E-03
row_00223,14.9,5.6,2.6,3.6,83.9,2.5,301.4,1,0.000287001,0.00098,0.09,1,1,1.7, corner,0.109,0.012,44,0.5,0.2,0.4,0.16,1,0.16,0.5,,0.5,7.77E-04,3.13E+08,,1,6.97E-04,1.97E+07,,1.5,7.23E-04,1.06E+06,,7.33E-04,4.5,,1.04E-03
row_00022,38.7,15.9,2.4,5.9,613.4,4.2,3607.8,1.1,0.00030816,0.00098,1.11,7.9,19.3,2.9, corner,0.211,0.045,42,1.9,0.6,0.4,0.16,2,0.32,3.5,,0.5,,,,1,,,,1.5,,,,,,,6.00E-03
row_00156,36.2,13.1,2.8,3.2,474.1,6.9,1500.2,1.2,0.000329319,0.00098,0.49,1,1,1.5, corner,0.211,0.045,33,1.5,0.3,0.4,0.16,2,0.32,1.5,,0.5,,,,1,4.82E-03,2.97E+06,,1.5,4.81E-03,1.85E+04,,4.81E-03,0.1,,4.19E-03
row_00111,14.3,8.3,1.7,4.7,118.6,2.3,552.7,1.3,0.000350477,0.00098,0.19,2,3.6,2.3,mid-point,0.109,0.012,60,0.7,0.3,0.4,0.16,1,0.16,1.2,,0.5,1.03E-03,6.59E+04,,1,,,,1.5,1.14E-03,8.96E+08,,1.08E-03,5.3,,1.54E-03
row_00229,24.5,23.2,1.1,8,568.6,3,4555.3,1.3,0.000371636,0.00098,1.69,11,12.2,4, centre,0.335,0.112,24,2.7,0.6,0.4,0.16,4,0.64,2.6,,0.5,,,,1,,,,1.5,,,,,,,1.23E-02
row_00058,48.5,18.3,2.7,5,887.1,5.9,4458.6,1.4,0.000392795,0.00098,1.75,4.5,12.1,2.5,mid-point,0.335,0.112,36,4,0.4,0.4,0.16,4,0.64,2.7,,0.5,3.14E-03,7.64E+05,,1,,,,1.5,3.92E-03,8.99E+16,,3.53E-03,11.1,,9.76E-03
row_00176,17.9,8.5,2.1,3.3,152,3.8,494.7,1.5,0.000413954,0.00098,0.2,4.2,8.9,1.6, centre,0.109,0.012,78,0.9,0.2,0.4,0.16,1,0.16,1.3,,0.5,,,,1,,,,1.5,,,,,,,1.42E-03
row_00067,18.6,13.4,1.4,5.7,248,2.8,1403.5,1.6,0.000435113,0.00098,0.61,6.6,9.3,2.8, centre,0.211,0.045,18,0.8,0.8,0.4,0.16,2,0.32,1.9,,0.5,3.26E-03,3.68E+10,,1,3.52E-03,1.47E+06,,1.5,3.58E-03,1.27E+07,,3.45E-03,4.1,,7.94E-03
row_00201,26.9,14.6,1.8,9,393.5,2.2,3549.8,1.6,0.000456272,0.00098,1.62,1,1,4.5, corner,0.335,0.112,18,2,0.8,0.4,0.16,4,0.64,2.5,,0.5,1.02E-02,4.98E+13,,1,1.08E-02,1.23E+13,,1.5,1.13E-02,1.47E+11,,1.07E-02,4,,1.55E-02
row_00013,30.3,16.2,1.9,8.3,490.4,2.7,4071.9,1.7,0.000477431,0.00098,1.94,4,7.6,4.1,mid-point,0.335,0.112,21,2.4,0.8,0.4,0.16,4,0.64,3,,0.5,6.98E-03,6.93E+16,,1,6.26E-03,9.66E+18,,1.5,6.83E-03,1.79E+17,,6.69E-03,4.6,,1.60E-02
row_00135,13.2,10,1.3,5.5,131.3,2.1,726.8,1.8,0.000498589,0.00098,0.36,2.4,3.3,2.7,mid-point,0.211,0.045,10,0.4,0.8,0.4,0.16,1,0.16,2.3,,0.5,4.21E-03,3.08E+04,,1,3.68E-03,4.26E+04,,1.5,4.98E-03,6.97E+03,,4.29E-03,12.4,,8.68E-03
row_00116,33.6,15.5,2.2,4.3,519.1,5.2,2254.3,1.9,0.000519748,0.00098,1.17,1,1,2.1, corner,0.211,0.045,36,1.6,0.7,0.4,0.16,2,0.32,3.7,,0.5,1.01E-02,9.72E+05,,1,,,,1.5,1.01E-02,5.31E+05,,1.01E-02,0.4,,8.20E-03
row_00033,20.9,17.1,1.2,7.7,358.5,2.5,2757,2,0.000562066,0.00098,1.55,1,1,3.8, corner,0.211,0.045,27,1.2,1.3,0.4,0.16,2,0.32,4.8,,0.5,9.93E-03,1.48E+05,,1,1.09E-02,3.59E+05,,1.5,1.06E-02,1.30E+05,,1.05E-02,4,,1.23E-02
row_00171,25.1,16.3,1.5,6.1,410.2,3.3,2505.7,2.1,0.000583225,0.00098,1.46,1,1,3, corner,0.211,0.045,30,1.3,1.1,0.4,0.16,2,0.32,4.6,,0.5,8.79E-03,1.46E+07,,1,9.20E-03,7.92E+05,,1.5,8.33E-03,1.59E+08,,8.78E-03,4.1,,1.11E-02
row_00088,27.8,9.4,3,3.6,261.7,4.5,939.5,2.2,0.000604384,0.00098,0.57,2.3,7,1.7,mid-point,0.211,0.045,18,0.8,0.7,0.4,0.16,1,0.16,3.5,,0.5,7.48E-03,2.33E+05,,1,7.54E-03,1.06E+06,,1.5,7.74E-03,1.24E+06,,7.59E-03,1.5,,8.44E-03
row_00210,50.2,22.1,2.3,3.9,1108.2,8.5,4323.2,2.3,0.000625543,0.00098,2.7,5.5,12.5,1.9,mid-point,0.335,0.112,45,5.1,0.5,0.4,0.16,4,0.64,4.2,,0.5,8.39E-03,1.26E+06,,1,8.64E-03,3.36E+09,,1.5,8.93E-03,3.69E+07,,8.65E-03,2.6,,1.31E-02
row_00027,26.3,10.3,2.6,7.6,270.8,2.2,2060.9,2.3,0.000646701,0.00098,1.33,5.1,13.2,3.8, centre,0.211,0.045,20,0.9,1.5,0.4,0.16,2,0.32,4.2,,0.5,6.07E-03,7.47E+01,,1,6.44E-03,7.68E+01,,1.5,6.37E-03,1.28E+02,,6.29E-03,2.5,,1.42E-02
row_00145,29.5,13.8,2.1,7.5,407.6,2.7,3047.1,2.4,0.00066786,0.00098,2.04,3.4,7.4,3.7,mid-point,0.335,0.112,18,2,1,0.4,0.16,4,0.64,3.2,,0.5,9.28E-03,7.91E+09,,1,8.85E-03,3.05E+05,,1.5,1.04E-02,2.15E+07,,9.50E-03,6.8,,2.04E-02
row_00098,29.1,21.4,1.4,6.3,625.1,4,3955.9,2.5,0.000689019,0.00098,2.73,1,1,3.1, corner,0.335,0.112,27,3,0.9,0.4,0.16,4,0.64,4.3,,0.5,1.31E-02,5.07E+06,,1,1.35E-02,1.67E+05,,1.5,1.34E-02,3.38E+05,,1.33E-02,1.5,,1.91E-02
row_00232,26.8,13.9,1.9,3.1,371.5,6.2,1152.1,2.6,0.000710178,0.00098,0.82,6.9,13.4,1.5, centre,0.211,0.045,27,1.2,0.7,0.4,0.16,2,0.32,2.6,,0.5,4.26E-03,1.39E+09,,1,3.91E-03,3.04E+08,,1.5,3.94E-03,8.65E+09,,4.03E-03,3.9,,8.67E-03
row_00055,22,9.6,2.3,5,211.3,2.9,1055.5,2.6,0.000731337,0.00098,0.77,4.8,11,2.4, centre,0.211,0.045,16,0.7,1.1,0.4,0.16,1,0.16,4.8,,0.5,4.55E-03,9.04E+05,,1,5.71E-03,3.28E+04,,1.5,6.17E-03,2.79E+05,,5.48E-03,12.4,,1.19E-02
row_00189,35.7,12,3,9.1,428.7,2.3,3897.9,2.7,0.000752496,0.00098,2.93,6,17.9,4.5, centre,0.335,0.112,18,2,1.5,0.4,0.16,5,0.8,3.7,,0.5,1.07E-02,1.71E+12,,1,1.36E-02,2.97E+06,,1.5,1.31E-02,1.25E+07,,1.25E-02,10.1,,2.71E-02
row_00078,34.5,22.7,1.5,3.8,784.1,7.4,2950.4,2.8,0.000773655,0.00098,2.28,11,17.2,1.8, centre,0.335,0.112,33,3.7,0.6,0.4,0.16,4,0.64,3.6,,0.5,9.28E-03,1.67E+04,,1,1.08E-02,1.47E+03,,1.5,1.09E-02,6.67E+02,,1.03E-02,7.2,,1.55E-02
row_00196,22.7,18.7,1.2,4.7,423.7,4.4,2002.9,2.9,0.000794813,0.00098,1.59,9.3,11.3,2.3, centre,0.211,0.045,30,1.3,1.2,0.4,0.16,2,0.32,5,,0.5,6.43E-03,1.17E+08,,1,6.35E-03,2.47E+07,,1.5,7.33E-03,2.94E+06,,6.70E-03,6.7,,1.31E-02
row_00004,29.5,13.1,2.3,4.9,387.4,4,1906.3,2.9,0.000815972,0.00098,1.56,3.2,7.4,2.4,mid-point,0.211,0.045,27,1.2,1.3,0.4,0.16,2,0.32,4.9,,0.5,1.01E-02,3.20E+04,,1,9.94E-03,6.62E+04,,1.5,1.06E-02,9.00E+03,,1.02E-02,2.5,,1.39E-02
row_00142,45.2,15.4,2.9,4.2,695.1,6.3,2892.4,3,0.000837131,0.00098,2.42,3.8,11.3,2,mid-point,0.335,0.112,30,3.4,0.7,0.4,0.16,4,0.64,3.8,,0.5,9.14E-03,2.32E+06,,1,9.93E-03,1.77E+06,,1.5,9.74E-03,5.91E+05,,9.61E-03,3.5,,1.76E-02
row_00125,25,16.2,1.5,9.4,405.4,2.1,3801.2,3.1,0.00085829,0.00098,3.26,1,1,4.6, corner,0.335,0.112,18,2,1.6,0.4,0.16,6,0.96,3.4,,0.5,2.45E-02,3.19E+05,,1,2.42E-02,1.03E+06,,1.5,2.45E-02,9.47E+04,,2.44E-02,0.6,,3.04E-02
row_00247,15.5,12.4,1.2,5.2,192.5,2.7,997.5,3.2,0.000879449,0.00098,0.88,1,1,2.5, corner,0.211,0.045,14,0.6,1.4,0.4,0.16,1,0.16,5.5,,0.5,1.25E-02,5.48E+01,,1,1.27E-02,2.80E+01,,1.5,1.26E-02,8.81E+01,,1.26E-02,0.7,,1.51E-02
row_00040,33.8,13,2.6,2.8,439.7,7.6,1210.2,3.2,0.000900608,0.00098,1.09,1,1,1.3, corner,0.211,0.045,30,1.3,0.8,0.4,0.16,2,0.32,3.4,,0.5,1.06E-02,2.74E+05,,1,1.12E-02,1.23E+07,,1.5,1.29E-02,1.50E+06,,1.16E-02,8.5,,1.06E-02
row_00162,38.5,17.8,2.2,5.9,684,4.4,4052.5,3.3,0.000921766,0.00098,3.74,1,1,2.9, corner,0.335,0.112,27,3,1.2,0.4,0.16,6,0.96,3.9,,0.5,2.03E-02,6.55E+04,,1,2.11E-02,1.60E+04,,1.5,2.11E-02,1.93E+03,,2.09E-02,1.9,,2.60E-02
row_00081,23.9,18,1.3,7.2,431.1,2.9,3105.1,3.4,0.000942925,0.00098,2.93,4.5,6,3.6,mid-point,0.335,0.112,18,2,1.4,0.4,0.16,6,0.96,3,,0.5,,,,1,2.59E-02,8.61E+05,,1.5,2.29E-02,1.08E+07,,2.44E-02,6.1,,2.92E-02
row_00219,23.4,12.3,1.9,7.5,287.7,2.3,2157.6,3.5,0.000964084,0.00098,2.08,3,5.8,3.7,mid-point,0.335,0.112,12,1.3,1.5,0.4,0.16,3,0.48,4.3,,0.5,1.73E-02,2.40E+05,,1,1.67E-02,1.97E+05,,1.5,1.60E-02,8.04E+04,,1.67E-02,3.1,,3.07E-02
row_00018,30.8,25.9,1.2,5.3,798,5.3,4226.6,3.5,0.000985243,0.00098,4.16,12,15.4,2.6, centre,0.335,0.112,32,3.6,1.2,0.4,0.16,9,1.44,2.9,,0.5,1.44E-02,3.08E+07,,1,1.48E-02,3.93E+07,,1.5,1.23E-02,1.29E+06,,1.38E-02,8.1,,2.56E-02
row_00152,17.7,11.7,1.5,4.3,207.3,3.4,881.4,3.6,0.001006402,0.00098,0.89,2.9,4.4,2.1,mid-point,0.211,0.045,14,0.6,1.4,0.4,0.16,1,0.16,5.5,,0.5,1.13E-02,3.75E+01,,1,1.10E-02,3.45E+01,,1.5,1.21E-02,1.85E+01,,1.15E-02,4.2,,1.59E-02
row_00107,32,10.7,3,7,343.7,2.6,2409,3.7,0.001027561,0.00098,2.48,1,1,3.5, corner,0.335,0.112,14,1.6,1.6,0.4,0.16,4,0.64,3.9,,0.5,2.63E-02,1.26E+03,,1,2.51E-02,7.88E+02,,1.5,2.74E-02,3.31E+03,,2.63E-02,3.6,,3.18E-02
row_00225,26.9,11.7,2.3,8.6,313.6,2.1,2699,3.8,0.00104872,0.00098,2.83,5.8,13.4,4.3, centre,0.335,0.112,14,1.6,1.8,0.4,0.16,4,0.64,4.4,,0.5,1.45E-02,3.88E+02,,1,1.35E-02,9.07E+02,,1.5,1.53E-02,7.05E+02,,1.44E-02,5.1,,3.50E-02
row_00062,31.5,16.5,1.9,5,521.1,4.6,2602.3,3.9,0.001069878,0.00098,2.78,1,1,2.4, corner,0.335,0.112,21,2.4,1.2,0.4,0.16,4,0.64,4.4,,0.5,2.87E-02,2.51E+05,,1,2.76E-02,9.01E+05,,1.5,2.91E-02,5.08E+04,,2.84E-02,2.2,,2.66E-02
row_00180,31.9,23.6,1.4,3.1,751.7,8.8,2351,3.9,0.001091037,0.00098,2.57,11,15.9,1.5, centre,0.335,0.112,30,3.4,0.8,0.4,0.16,4,0.64,4,,0.5,1.59E-02,1.67E+04,,1,1.63E-02,1.22E+03,,1.5,1.76E-02,2.31E+02,,1.66E-02,4.2,,2.00E-02
row_00071,18.2,8.5,2.1,5.1,154.3,2.4,784.8,4,0.001112196,0.00098,0.87,4.2,9.1,2.5, centre,0.211,0.045,12,0.5,1.6,0.4,0.16,1,0.16,5.5,,0.5,9.46E-03,6.30E+04,,1,9.10E-03,9.06E+04,,1.5,1.09E-02,6.42E+03,,9.82E-03,7.9,,1.81E-02
row_00205,38.5,14.9,2.6,7.3,572,3.3,4168.6,4.1,0.001133355,0.00098,4.72,3.7,9.6,3.6,mid-point,0.335,0.112,24,2.7,1.8,0.4,0.16,8,1.28,3.7,,0.5,1.86E-02,1.50E+03,,1,1.84E-02,1.10E+02,,1.5,1.90E-02,1.38E+03,,1.87E-02,1.3,,3.53E-02
row_00009,32.6,12.4,2.6,8.5,404.2,2.4,3453.1,4.2,0.001154514,0.00098,3.99,1,1,4.2, corner,0.335,0.112,16,1.8,2.2,0.4,0.16,6,0.96,4.2,,0.5,4.37E-02,2.45E+03,,1,4.70E-02,7.78E+03,,1.5,4.93E-02,1.30E+04,,4.67E-02,4.9,,4.15E-02
row_00131,22.9,11.1,2.1,5.3,253.8,3,1345.5,4.2,0.001175673,0.00098,1.58,1,1,2.6, corner,0.211,0.045,18,0.8,2,0.4,0.16,2,0.32,4.9,,0.5,1.86E-02,4.58E+02,,1,1.86E-02,2.57E+03,,1.5,1.84E-02,1.11E+03,,1.85E-02,0.3,,2.09E-02
row_00112,14.1,9.9,1.4,2.8,139.9,4.2,398,4.3,0.001196832,0.00098,0.48,2.4,3.5,1.4,mid-point,0.211,0.045,10,0.4,1.1,0.4,0.16,1,0.16,3,,0.5,1.30E-02,6.49E+01,,1,1.43E-02,4.28E+01,,1.5,1.64E-02,3.22E+01,,1.45E-02,9.6,,1.40E-02
row_00250,42.3,22.6,1.9,4.6,957.9,6.7,4400.6,4.4,0.00121799,0.00098,5.36,5.6,10.6,2.2,mid-point,0.335,0.112,39,4.4,1.2,0.6,0.36,4,1.44,3.7,,0.5,2.60E-02,1.66E+05,,1,2.87E-02,1.41E+06,,1.5,2.84E-02,1.57E+05,,2.77E-02,4.4,,2.84E-02
row_00037,36.9,14.9,2.5,8.4,551.4,2.8,4613.3,4.5,0.001239149,0.00098,5.72,3.7,9.2,4.1,mid-point,0.335,0.112,24,2.7,2.1,0.6,0.36,4,1.44,4,,0.5,2.71E-02,1.15E+04,,1,2.90E-02,4.80E+03,,1.5,2.93E-02,2.61E+03,,2.84E-02,3.4,,4.13E-02
row_00175,18.9,6.8,2.8,5.1,127.4,2.2,649.4,4.5,0.001260308,0.00098,0.82,1.6,4.7,2.5,mid-point,0.211,0.045,10,0.4,1.8,0.4,0.16,1,0.16,5.1,,0.5,1.20E-02,3.47E+01,,1,1.26E-02,3.83E+01,,1.5,1.31E-02,2.63E+01,,1.26E-02,3.7,,2.04E-02
row_00092,27.2,16,1.7,3.6,434.8,5.8,1558.2,4.6,0.001281467,0.00098,2,1,1,1.7, corner,0.335,0.112,18,2,1,0.4,0.16,4,0.64,3.1,,0.5,1.98E-02,6.22E+01,,1,1.96E-02,7.28E+01,,1.5,1.95E-02,1.21E+01,,1.96E-02,0.7,,2.51E-02
row_00214,24.3,23.7,1,6.4,577.1,3.7,3704.5,4.7,0.001302626,0.00098,4.83,1,1,3.2, corner,0.335,0.112,24,2.7,1.8,0.4,0.16,8,1.28,3.8,,0.5,3.89E-02,4.44E+03,,1,3.46E-02,3.15E+04,,1.5,3.89E-02,1.79E+03,,3.74E-02,5.5,,3.75E-02
row_00031,11.7,6.5,1.8,2.7,75.4,3.2,204.7,4.8,0.001323785,0.00098,0.27,3.2,5.8,1.3, centre,0.109,0.012,38,0.5,0.6,0.4,0.16,1,0.16,1.7,,0.5,,,,1,,,,1.5,,,,,,,4.07E-03
row_00149,26.7,19.3,1.4,9.5,514.4,2.4,4903.3,4.8,0.001344944,0.00098,6.59,9.6,13.3,4.7, centre,0.335,0.112,21,2.4,2.8,0.6,0.36,6,2.16,3.1,,0.5,2.01E-02,5.45E+04,,1,1.90E-02,2.99E+04,,1.5,2.27E-02,1.12E+05,,2.06E-02,7.5,,5.10E-02
